"
        <h4>Terminal Keyboard Shortcuts</h4>
        <ul>
          <li><strong>Ctrl+C</strong>: Interrupt current process</li>
          <li><strong>Ctrl+D</strong>: Send EOF</li>
          <li><strong>Ctrl+L</strong>: Clear screen</li>
          <li><strong>Up/Down arrows</strong>: Navigate command history</li>
          <li><strong>Ctrl+A</strong>: Move cursor to beginning of line</li>
          <li><strong>Ctrl+E</strong>: Move cursor to end of line</li>
          <li><strong>Ctrl+K</strong>: Delete from cursor to end of line</li>
          <li><strong>Ctrl+U</strong>: Delete from start of line to cursor</li>
        </ul>
      ",,
==================Connector,,
About,เกี่ยวกับ,
"Accountant, Software Engineer & Content Creator",,
Apply,ใช้,
Are you sure you want to restart the MCP Server?,,
Are you sure you want to stop the MCP Server?,,
Building awesome things with code!,,
Connect MCP,,
Connect to your MCP Server and run commands directly from your browser,,
Connecting...,,
Dark (Tokyo Night),,
Delete Demo Data,ลบข้อมูลสาธิต,
ERPNext MCP Chatbot,,
Error loading logs,,
Failed to start MCP Server,,
Failed to start MCP server,,
Failed to start server:,,
Failed to stop MCP Server,,
Failed to stop MCP server,,
Font Size,ขนาดตัวอักษร,
Frappe Support,ฝ่ายสนับสนุน Frappe,
Insufficient permissions to execute terminal commands,,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Light,แสง,
Loading logs...,กำลังโหลดบันทึก...,
Logs,,
MCP Diagnostic,,
MCP Server,,
MCP Server Dashboard,,
MCP Server Logs,,
MCP Server Manager,,
MCP Server stopped successfully,,
MCP Terminal,,
MCP query failed,,
MCP server is not configured or enabled,,
MCP server is not running. Please start the server first.,,
MCP server started successfully,,
Manage MCP Servers,,
No logs available,,
Print Message,พิมพ์ข้อความ,
Progress,ความคืบหน้า,
Refresh,ดึงข้อมูลใหม่,
Restart MCP Server,,
Server Logs,,
Server Name is required,,
Server Name must be at least 3 characters long,,
Server Name should be at least 3 characters long,,
Server Script Path is required,,
Server Type is required,,
Server is not running,,
Settings,การตั้งค่า,
Start MCP Server,,
Starting MCP server...,,
Stop MCP Server,,
System Health,สุขภาพระบบ,
Terminal Keyboard Shortcuts,,
Terminal Settings,,
Terminal font size in pixels,,
Theme,กระทู้,
This method is only meant for developer mode,วิธีนี้มีไว้สำหรับโหมดนักพัฒนาเท่านั้น,
User is not logged in or session is invalid,,
Who is MooCoding?,,
You do not have permission to uer MCP,,
You don't have permission to use MCP Terminal,,
You don't have permission to view active sessions,,
YouTube: MooCoding,,
ai-chatbot,,
